ASM,Contrast,IDM,Entropy,Homogeneity,Sum Mean,Maximum Probability,Dissimilarity,Difference mean,Autocorrelation,Class
3.352510903561707334e-01,1.295581822660374360e-01,7.536824040092615640e-02,-2.179482859413850726e-01,8.502707119676126968e-02,-4.162463455217043085e-01,3.811530032937565649e-01,8.025404840791501571e-02,-8.839017212923621081e-01,-4.560444894238968039e-01,1
-8.857597418509780551e-01,3.860178370512319379e-01,-9.233506891401921379e-01,1.009975304713574662e+00,-8.943996534895894968e-01,8.012965087940201458e-01,-7.979963301641205264e-01,4.477086241039093251e-01,-8.807984788344790372e-01,7.762647851812951583e-01,1
1.123591803926606181e+00,-5.423033543851087934e-01,9.406495404285361017e-01,-1.090058625867326825e+00,9.350489868546320027e-01,-1.065748708423850388e+00,1.047056533125958255e+00,-5.795444658684055783e-01,-5.254772174298841803e-01,-1.054323035700581945e+00,1
1.026200783009514783e+00,-7.342096600719069110e-01,8.786298916180547147e-01,-9.565591766174250665e-01,8.884158568159817859e-01,-9.412859060476413964e-01,9.680956402637336256e-01,-7.429458307740184342e-01,-6.077131425587818381e-01,-8.841834964593249246e-01,1
3.352510903561707334e-01,1.295581822660374360e-01,7.536824040092615640e-02,-2.179482859413850726e-01,8.502707119676126968e-02,-4.162463455217043085e-01,3.811530032937565649e-01,8.025404840791501571e-02,-8.839017212923621081e-01,-4.560444894238968039e-01,1
1.123591803926606181e+00,-5.423033543851087934e-01,9.406495404285361017e-01,-1.090058625867326825e+00,9.350489868546320027e-01,-1.065748708423850388e+00,1.047056533125958255e+00,-5.795444658684055783e-01,-5.254772174298841803e-01,-1.054323035700581945e+00,1
-8.955961280817239523e-01,-1.939476400300452485e-01,-6.433003171802615938e-01,1.014974540151141191e+00,-6.131161263379650839e-01,9.738935265565524801e-01,-8.085244492169447739e-01,-1.380908269545315092e-01,-1.189524554736210160e-01,1.110396221618219270e+00,1
-2.816470497599660172e-01,1.772161100949637691e-01,-4.254790691372488665e-01,4.263191347048957414e-01,-3.981545628953807037e-01,1.959816651735023785e-01,-1.873654253380220847e-01,1.837892183944053737e-01,-1.098025450872283759e+00,1.883164294509156733e-01,1
-8.857597418509780551e-01,3.860178370512319379e-01,-9.233506891401921379e-01,1.009975304713574662e+00,-8.943996534895894968e-01,8.012965087940201458e-01,-7.979963301641205264e-01,4.477086241039093251e-01,-8.807984788344790372e-01,7.762647851812951583e-01,1
9.454918979541891699e-02,-6.069193371049457220e-01,-6.618763833180235645e-02,5.705768959776548466e-02,2.211558794417810368e-03,-3.462920596845899673e-02,1.653265627957567208e-01,-5.495319702696300768e-01,-1.188019482139884619e+00,9.246505531615105411e-02,1
-1.190343076125144561e+00,1.136916749350374234e+00,-1.317353617045798897e+00,1.147943433094706478e+00,-1.330145631625435199e+00,1.007685499844941823e+00,-1.137528169486113017e+00,1.223110825112481148e+00,-2.368803237297345099e+00,8.702214922307508482e-01,1
-1.788479119300712572e+00,1.506383128151235873e+00,-1.838178422947262192e+00,1.721378494932747971e+00,-1.861222056523111679e+00,1.678855998295195162e+00,-1.861336354091868150e+00,1.602157528739434955e+00,-1.336975120116270954e+00,1.457696425724094524e+00,1
3.482852018817743645e-01,-3.826972108445654830e-01,2.932477598159641818e-01,-3.235527000420055921e-01,3.059818586054352529e-01,-4.004595610546721751e-01,3.916811223465808123e-01,-3.561181097703631226e-01,-8.745919939187130066e-01,-3.936456781786047410e-01,1
1.005269293394550068e-01,9.623630904058200208e-01,-2.428667235024464521e-01,-1.081002062112152440e-01,-2.642320543081916884e-01,-3.713881458678530145e-01,1.679585925547187331e-01,9.001192058503917348e-01,-3.206166665849907726e-02,-5.774743582883760107e-01,1
